Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2025-06-27 14:39:54 -0400,charge,#42883,visa,stripe_terminal,paid,2025-07-01,2025-07-01,21.60,0.52,21.08,#35726578319453,card,21.60,USD,USD
2025-06-27 14:37:23 -0400,charge,#42882,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,111.83,2.68,109.15,#35726485160029,card,111.83,USD,USD
2025-06-27 14:37:11 -0400,charge,#42881,visa,stripe_terminal,paid,2025-07-01,2025-07-01,29.53,0.71,28.82,#35726566064221,card,29.53,USD,USD
2025-06-27 14:37:10 -0400,charge,#42880,visa,stripe_terminal,paid,2025-07-01,2025-07-01,29.37,0.70,28.67,#35726572683357,card,29.37,USD,USD
2025-06-27 14:35:30 -0400,charge,#42879,visa,stripe_terminal,paid,2025-07-01,2025-07-01,131.85,3.16,128.69,#35726519009373,card,131.85,USD,USD
2025-06-27 14:33:25 -0400,charge,#42877,visa,stripe_terminal,paid,2025-07-01,2025-07-01,28.66,0.69,27.97,#35726546403421,card,28.66,USD,USD
2025-06-27 14:31:06 -0400,charge,#42875,master,stripe_terminal,paid,2025-07-01,2025-07-01,36.27,0.87,35.40,#35726517862493,card,36.27,USD,USD
2025-06-27 14:26:55 -0400,charge,#42873,master,stripe_terminal,paid,2025-07-01,2025-07-01,10.57,0.25,10.32,#35726475886685,card,10.57,USD,USD
2025-06-27 14:23:09 -0400,charge,#42872,master,stripe_terminal,paid,2025-07-01,2025-07-01,92.84,2.23,90.61,#35726366900317,card,92.84,USD,USD
2025-06-27 14:19:59 -0400,charge,#42878,american_express,online,paid,2025-07-01,2025-07-01,247.00,8.70,238.30,#35726523301981,card,247.00,USD,USD
2025-06-27 14:17:55 -0400,charge,#42876,visa,online,paid,2025-06-29,2025-06-27,75.00,2.10,72.90,#35726527725661,card,75.00,USD,USD
2025-06-27 14:15:41 -0400,charge,#42870,master,stripe_terminal,paid,2025-07-01,2025-07-01,12.64,0.30,12.34,#35726082474077,card,12.64,USD,USD
2025-06-27 14:14:35 -0400,charge,#42869,visa,stripe_terminal,paid,2025-07-01,2025-07-01,9.72,0.23,9.49,#35726414217309,card,9.72,USD,USD
2025-06-27 14:07:04 -0400,charge,#42868,visa,stripe_terminal,paid,2025-07-01,2025-07-01,103.39,2.48,100.91,#35726360543325,card,103.39,USD,USD
2025-06-27 14:06:04 -0400,charge,#42867,visa,stripe_terminal,paid,2025-07-01,2025-07-01,59.08,1.42,57.66,#35726064386141,card,59.08,USD,USD
2025-06-27 13:57:25 -0400,charge,#42866,visa,stripe_terminal,paid,2025-07-01,2025-07-01,49.80,1.20,48.60,#35726293336157,card,49.80,USD,USD
2025-06-27 13:54:47 -0400,charge,#42865,master,stripe_terminal,paid,2025-07-01,2025-07-01,21.60,0.52,21.08,#35726280720477,card,21.60,USD,USD
2025-06-27 13:53:22 -0400,charge,#42864,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,102.12,2.45,99.67,#35726258241629,card,102.12,USD,USD
2025-06-27 13:49:00 -0400,charge,#42863,master,stripe_terminal,paid,2025-07-01,2025-07-01,18.56,0.45,18.11,#35726221508701,card,18.56,USD,USD
2025-06-27 13:44:15 -0400,charge,#42862,master,stripe_terminal,paid,2025-07-01,2025-07-01,40.89,0.98,39.91,#35726204141661,card,40.89,USD,USD
2025-06-27 13:42:09 -0400,charge,#42861,visa,stripe_terminal,paid,2025-07-01,2025-07-01,12.96,0.31,12.65,#35726198734941,card,12.96,USD,USD
2025-06-27 13:41:03 -0400,charge,#42811,visa,online,paid,2025-07-01,2025-07-01,37.98,1.21,36.77,#35720743616605,card,37.98,USD,USD
2025-06-27 13:25:00 -0400,charge,#42860,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,4.86,0.12,4.74,#35726041448541,card,4.86,USD,USD
2025-06-27 13:24:35 -0400,charge,#42859,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,34.29,0.82,33.47,#35725842120797,card,34.29,USD,USD
2025-06-27 13:22:07 -0400,charge,#42858,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,73.85,1.77,72.08,#35725955596381,card,73.85,USD,USD
